id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
315698,"City Penthouse, Own Balcony, Shower",1625811,Tracey,,Dublin City,53.339797030607755,-6.226595170259762,Private room,44,3,214,2018-10-13,2.79,1,64
315833,City Centre Penthouse Apartment,1189146,Andrew,,Dublin City,53.33303824686585,-6.25981695211938,Entire home/apt,160,3,98,2018-10-08,1.22,5,4
333950,Best location in Dublin City Centre,1607393,Daragh,,Dublin City,53.341104954141876,-6.273176392949173,Private room,61,2,180,2018-10-01,2.27,3,17
345398,Cosy Double Bedroom in South Dublin Home from Home,1339322,Rachel,,Dn Laoghaire-Rathdown,53.28065152895827,-6.1907775345173,Private room,50,1,28,2018-09-01,1.19,2,89
365854,Boutique Cosy Centre Apartment,1847391,Diane,,Dublin City,53.35305306449363,-6.257084086555003,Entire home/apt,85,3,145,2018-09-03,1.81,1,74
374792,"'Grace Gifford' cottage, Kilmainham",790601,Grainne,,Dublin City,53.33679556776543,-6.3240962454585645,Entire home/apt,135,3,24,2018-05-22,0.31,5,320
386860,"Stylish Canal Side Cottage, Portobello Dublin",1935798,Sinead,,Dublin City,53.33759327372273,-6.27460184913999,Entire home/apt,150,1,52,2018-10-14,0.69,1,58
393631,Dublin - more than meets the eye!,1968168,Mick & Dee,,Dublin City,53.3579641994627,-6.241452809943851,Entire home/apt,180,3,73,2017-03-19,0.97,1,0
399005,Cottages set in beautiful gardens by the sea,1993026,Rosedale House,,Dn Laoghaire-Rathdown,53.23129582378554,-6.110932075529516,Entire home/apt,179,7,22,2017-09-14,0.58,3,50
399579,Hawthorn Cottage your perfect base to see Ireland.,1993026,Rosedale House,,Dn Laoghaire-Rathdown,53.2303087882918,-6.111528037767006,Entire home/apt,308,7,5,2017-05-26,0.14,3,56
415859,10 mins to city centre - Peaceful,2068233,Fearghus,,Dn Laoghaire-Rathdown,53.31075272141959,-6.2458078797731185,Private room,50,9,60,2017-09-10,0.78,1,316
419987,Stunning Victorian apartment slps 6 - James Joyce,1557844,Liam And Fiona,,Dublin City,53.356511229600294,-6.292287989680338,Entire home/apt,126,2,61,2018-09-30,0.84,8,314
420297,COZY Comfortable Irish Cottage twin room,193005,Teresa,,Dn Laoghaire-Rathdown,53.29069873454099,-6.257632149289533,Private room,50,3,140,2018-10-05,1.81,3,274
421239,Attic room with a View &  Private Bathroom.,1976386,Noeleen,,Dublin City,53.36637758930639,-6.273754650414167,Private room,90,3,109,2018-09-29,1.42,3,48
424596,Very Special Oval Georgian Studio,2110301,Karin,,Dublin City,53.354563919672586,-6.258864141482106,Entire home/apt,110,2,329,2018-10-01,4.27,4,40
425164,LOCATION LOCATION IN DUBLIN ROOM 1,2106659,Hans,,Dublin City,53.3343189954471,-6.267385309655565,Private room,110,2,229,2018-07-21,2.96,2,158
426326,Large Room With Double & Single Bed,766611,Margaret,,Dublin City,53.38909268812341,-6.23666627585676,Private room,36,2,171,2018-10-07,2.22,3,88
427077,Unique Oval Georgian Studio Gr. Fl.,2110301,Karin,,Dublin City,53.355927859689494,-6.257507437872339,Entire home/apt,110,2,357,2018-10-02,4.54,4,28
427495,Lovely Double Room in the Attic,766611,Margaret,,Dublin City,53.39006432924529,-6.236364767429023,Private room,38,2,121,2018-10-14,1.62,3,285
446070,Terraced house close to city centre,2215159,Grainne,,Dublin City,53.35241520821644,-6.2913884644796765,Entire home/apt,105,3,15,2018-10-07,0.19,1,22
451611,Perfect Location City Centre Apartment,1607393,Daragh,,Dublin City,53.34109226936638,-6.271754616202483,Entire home/apt,89,1,464,2018-10-08,5.98,3,2
454183,Funky Studio & Loft near City Centre,408378,Eddie,,Dublin City,53.353906699921446,-6.297996308557816,Entire home/apt,80,2,42,2018-10-01,2.61,4,0
457868,LOCATION LOCATION IN DUBLIN ROOM 2,2106659,Hans,,Dublin City,53.33619290790526,-6.266990411689201,Private room,85,2,196,2018-04-18,2.52,2,96
459363,"STOP!! Go no further, 6km to City",2283308,Ian,,Dublin City,53.39327719695955,-6.192970187521996,Entire home/apt,240,3,18,2017-08-07,0.24,2,352
460461,"Horse riding, Golf, Gym & leisure.",2289306,Maria,,Fingal,53.40506570203141,-6.251854671351343,Entire home/apt,200,7,4,2013-06-24,0.06,1,365
468082,"A little bit of country in the city, Fairy House",2115318,Siobhan,,South Dublin,53.353486562781846,-6.451842016308494,Private room,70,1,143,2018-10-01,1.92,2,237
497136,Spacious Double Room near beach 3,608225,Norah,,Dublin City,53.33765214512031,-6.219842873367827,Private room,55,2,106,2018-08-27,1.42,3,1
505627,Only 3 Miles from the City Center,2492535,Des,,Dublin City,53.382468820183405,-6.291038653554696,Private room,65,2,85,2018-10-13,1.12,1,30
510225,Room available beside DCU,2508790,Laura,,Dublin City,53.38799631823066,-6.273932684225353,Private room,28,14,11,2018-09-02,0.15,1,24
519416,City Center Cozy Room!!!!!,2556184,Sonia,,Dublin City,53.347725570892145,-6.268766312656485,Private room,60,1,207,2018-10-01,2.69,1,97
521746,The twin room 10 min to the airport City 30 mins,2566074,Philomena,,Fingal,53.46222205972098,-6.213129143594102,Private room,41,1,121,2018-08-04,2.25,3,15
522667,"Interesting, Spacious Georgian Flat",2110301,Karin,,Dublin City,53.35525572124556,-6.257338294163673,Entire home/apt,110,3,300,2018-09-29,3.90,4,23
526767,Designer Apt in the heart of Dublin,2340296,Dardo,,Dublin City,53.34769406158994,-6.2638804109874116,Entire home/apt,140,1,407,2018-10-04,5.47,1,168
536320,Amazing views in centre of Dublin,1334552,Alison,,Dublin City,53.34947971962497,-6.279965994011644,Private room,50,3,184,2018-09-28,2.43,2,94
547945,Single room at Blessington Basin,2692493,Alwyn,,Dublin City,53.35609323067634,-6.269776523398117,Private room,35,1,507,2018-10-14,6.60,1,246
564274,Sandyford village :  Room with a view,2774638,Amanda,,Dn Laoghaire-Rathdown,53.269617176947456,-6.228372540992721,Private room,29,7,2,2013-09-03,0.03,1,0
575339,Double Bedroom Close to City Center,1689834,Moris,,Dublin City,53.34172781145122,-6.239488681519716,Private room,50,1,0,,,1,0
585181,Home from Home ... good for long term,2861490,Barbara,,Dublin City,53.31386063158252,-6.2969591456606056,Private room,30,2,74,2018-08-10,0.98,3,15
587218,sunny double room in victorian home,2895736,James And Tom,,Dublin City,53.36274322100773,-6.27563667181781,Private room,72,2,160,2018-09-30,2.16,1,274
592536,"Friendly home, twin room , long or short stays",2861490,Barbara,,Dublin City,53.31381034223147,-6.296082236801517,Private room,36,3,99,2018-08-18,1.30,3,33
592840,"Fairy House ,A little bit of country in the city",2115318,Siobhan,,South Dublin,53.35152884851768,-6.451543930229052,Private room,55,1,13,2018-06-23,0.17,2,329
595320,"City views in stylish, cosy apt",2941825,Dee,,Dublin City,53.33929441828822,-6.28156516164713,Private room,40,3,45,2015-10-09,0.71,2,0
610233,"Perfect City Centre Apartment, Sleeps 4 - Dublin",687547,Kate,,Dublin City,53.345784853231905,-6.272141910614448,Entire home/apt,101,2,43,2018-10-12,0.57,1,43
621485,Cosy 2 bed cottage 6k to city,2283308,Ian,,Dublin City,53.39427143221808,-6.192076801151983,Entire home/apt,140,3,15,2017-05-28,0.24,2,365
623321,PLEASE READ ! 4 Person room .. For more Email me !,3090938,Austin,,South Dublin,53.314432547516766,-6.321221865607574,Private room,100,2,105,2018-07-08,1.45,2,157
626920,PLEASE READ ! 4 Person room .. For more Email me!!,3090938,Austin,,South Dublin,53.315185845949216,-6.32217790871443,Private room,100,2,74,2018-08-28,0.99,2,154
630655,Stunning Views in Centre of Dublin,1334552,Alison,,Dublin City,53.34717152145156,-6.279141625514341,Private room,50,5,171,2018-09-25,2.27,2,93
631270,Ringsend near city centre cosy room double bed,3125619,Freda,,Dublin City,53.3411512978687,-6.233424274127671,Private room,59,4,44,2018-09-16,1.59,4,39
631455,"Cosy 3 bed home w/yard @Goggle HQ, 5 mins City D4",3125619,Freda,,Dublin City,53.34218347048426,-6.232680181196285,Private room,190,2,10,2016-08-02,0.14,4,0
631927,River View: Double Room/Free Parking,3143519,Liam,,Dublin City,53.348929947609776,-6.30052797201669,Private room,90,2,72,2018-06-18,0.96,1,349
637185,"Quiet, cozy, beautiful 1bdrm!",3177950,Justin,,Dublin City,53.34688564602874,-6.275841369503156,Entire home/apt,91,7,157,2018-09-29,2.15,1,357
641880,Double room w shower by city centre,3207141,Hazel,,Dublin City,53.34458726828652,-6.284751420769234,Private room,85,2,46,2016-09-19,0.90,2,0
649740,"The heart of Temple Bar, Dublin (a)",2811286,Dave,,Dublin City,53.34204270111061,-6.267870106231472,Private room,85,2,472,2018-10-02,6.37,2,10
649854,Dublin City Apt - perfect base for you!,19819,Rory,,Dublin City,53.34879658230194,-6.266031077364282,Entire home/apt,90,1,75,2018-10-09,5.32,1,71
654589,City Centre Apartment | TEMPLE BAR | DUBLIN CASTLE,3244025,Garrett,,Dublin City,53.344885470158516,-6.2680396572189245,Entire home/apt,170,1,386,2018-10-11,5.18,2,260
690119,Award winning Designer House close to everything!,3525420,Sarah,,Dn Laoghaire-Rathdown,53.29306033543552,-6.246976440039691,Entire home/apt,195,3,170,2018-08-28,2.62,1,251
692956,Studio Apartment  Ideal for visiting Dublin,3244818,Jim,,Dn Laoghaire-Rathdown,53.28100769865386,-6.128917786201934,Entire home/apt,55,2,203,2018-10-14,2.99,1,91
700142,Dublin  16. Wicklow Way Rest,3591857,Anne-Marie,,Dn Laoghaire-Rathdown,53.25882566920646,-6.291567821479893,Private room,90,1,24,2018-07-13,0.52,3,365
700193,Dublin South Foothills Walkers Base,3591857,Anne-Marie,,Dn Laoghaire-Rathdown,53.258588671071664,-6.292013366392798,Entire home/apt,300,1,0,,,3,5
715205,Dublin Inclusive 1,3683952,Roy,,Dublin City,53.3701878770466,-6.250033254601491,Private room,50,2,76,2018-09-16,1.04,6,351
726011,Sunset Crag - Beautiful Apartment,3755932,Valerie,,Fingal,53.5817919012009,-6.121184672551687,Entire home/apt,110,2,74,2018-10-02,1.20,1,250
727047,City Centre: Ha' Penny Bridge View1,3765692,Giuseppe,,Dublin City,53.345394351610366,-6.2637305061475,Entire home/apt,150,2,187,2018-09-17,2.64,5,301
727048,City Centre: Ha' Penny Bridge View2,3765692,Giuseppe,,Dublin City,53.347439691365025,-6.263374151087642,Entire home/apt,120,2,148,2018-10-01,2.07,5,316
732468,ARCHITECTS DRAWING OFFICE APARTMENT,1189146,Andrew,,Dublin City,53.33154731127466,-6.26013515808847,Entire home/apt,165,3,153,2018-09-04,2.13,5,12
736751,Dublin Inclusive 2,3683952,Roy,,Dublin City,53.371844579354175,-6.251118404358602,Private room,50,2,48,2018-09-25,0.66,6,352
736773,Dublin Inclusive 3,3683952,Roy,,Dublin City,53.37195161897021,-6.252891535360145,Private room,50,2,47,2018-09-07,0.67,6,352
736794,Dublin Inclusive 4,3683952,Roy,,Dublin City,53.37206992143288,-6.252286248328127,Private room,50,2,52,2018-09-24,0.80,6,336
742656,Camden Central. Dublin at your door,3888023,Daragh,,Dublin City,53.33484467382317,-6.264278684102186,Private room,53,2,266,2018-10-01,4.66,2,113
747284,Luxury 2 BED Apartment near  City Centre,1626936,James P  ( J.P),,Dn Laoghaire-Rathdown,53.2976404481748,-6.234170481150367,Entire home/apt,89,1,9,2018-08-13,0.13,1,350
747976,"Chateau de Jimmy in Beaumont, Dublin",3927774,James,,Dublin City,53.391621138514175,-6.230126663365227,Private room,41,3,95,2018-09-19,1.77,1,48
754056,"Penthouse City Views,Tram Stop,Private Bathroom.",3966730,Paul,,Dublin City,53.334460298901746,-6.329361214056665,Private room,62,1,18,2018-10-14,9.31,1,155
760070,Luxury Double Bedroom with Ensuite ,4006046,Sari,,Dn Laoghaire-Rathdown,53.23142332997803,-6.158922626023304,Private room,90,1,13,2018-09-17,0.19,2,365
800026,Dublin Inclusive Groups,3683952,Roy,,Dublin City,53.36825050456421,-6.250390659963549,Entire home/apt,300,2,50,2018-10-01,0.76,6,343
802701,Thomas house-Brillant location. ,4224512,Vincent,,Dublin City,53.342115348930115,-6.275902332094019,Entire home/apt,105,3,54,2015-06-30,0.76,1,22
816039,"Boutique Chic 4BR, 10min Temple Bar! Fab location",192210,Susan,,Dublin City,53.36389782973653,-6.312857805802311,Entire home/apt,294,2,181,2018-07-10,2.57,2,179
837881,"Double ensuite, full kitchen near airport & city!",4378392,Sharon,,Dublin City,53.406486213499775,-6.1781104348291835,Private room,68,2,26,2018-08-16,1.16,2,137
838412,Dublin City Suburb - Large DBL Room,4380424,Jack & Audrey,,Dublin City,53.36841833853886,-6.263948192951538,Private room,90,2,31,2016-08-30,0.48,5,139
